Criptomoneda,Peso (%),Rendimiento (%)
BTCUSDT,14.97,-0.0
XRPUSDT,25.85,-0.22
ADAUSDT,13.27,-0.54
DOTUSDT,9.68,-0.45
DOGEUSDT,20.64,-0.13
AAVEUSDT,15.59,-0.14
