Métrica,Valor
Cambio Diario (%),-3.78
Score Tendencia,1.0/2.5
Oportunidad Compra,1.0/2.0
Ratio Sharpe,0.01
Volatilidad Anual (%),126.34
Ranking Volumen (%),50.57
