symbol,date,price,return_30d,volatility,rsi,volume_ratio,next_return
BTCUSDT,2024-08-09,60837.99,0.29125861498583616,0.5677424023092995,36.578766127311496,0.9013949787148442,0.0014057006156844576
BTCUSDT,2024-08-10,60923.51,0.23572651549753518,0.5671064086801662,36.8000245334759,0.29657828135937386,-0.03629009556409346
BTCUSDT,2024-08-11,58712.59,0.26269913769284337,0.5777034099985461,33.13203937824787,0.5719264732017683,0.0107992169992841
BTCUSDT,2024-08-12,59346.64,0.10980498973089207,0.5748543317121211,36.44635119932039,1.0798017919414535,0.02090278404977952
BTCUSDT,2024-08-13,60587.15,0.07008749270026297,0.5727293081282574,40.02808093548044,0.8075664431058721,-0.031421844400999266
BTCUSDT,2024-08-14,58683.39,0.050023474802988556,0.5463739756984369,39.544029996971176,0.8321663559324448,-0.019465985179111134
BTCUSDT,2024-08-15,57541.06,-0.2699772438580069,0.5479847291893593,36.456139718297365,1.1086234313370646,0.023175450712934476
BTCUSDT,2024-08-16,58874.6,-0.3513363344008717,0.5522448501048876,45.01590553257224,0.8137963235684555,0.010486525598475405
BTCUSDT,2024-08-17,59491.99,-0.2250923476047765,0.553478121898486,47.693021063521115,0.23095754163288917,-0.017895518371464747
BTCUSDT,2024-08-18,58427.35,-0.18493243892870806,0.5394622899113158,50.53991915098398,0.4169653578320111,0.017306107499313272
BTCUSDT,2024-08-19,59438.5,-0.38378127362083014,0.5420480705968937,62.583626697203435,0.6915902719957537,-0.007145200501358473
BTCUSDT,2024-08-20,59013.8,-0.3500946486631236,0.5391877422550445,57.495894757466225,0.9451861351624331,0.03630049242719502
BTCUSDT,2024-08-21,61156.03,-0.4248195703467817,0.5515322831605015,64.19544594982594,0.8348177621242759,-0.012757368324922358
BTCUSDT,2024-08-22,60375.84,-0.27284764402434397,0.5488443622494037,45.75699222679292,0.6401457368764377,0.06064346268308651
BTCUSDT,2024-08-23,64037.24,-0.2365947483132258,0.5779436997882818,58.763949588901795,1.1316705015429043,0.0018703179587378216
BTCUSDT,2024-08-24,64157.01,-0.00613909077967619,0.5776441844818128,58.84118298774291,0.47992793291777236,0.0009818100937060148
