Métrica,Valor
Cambio Diario (%),-7.62
Score Tendencia,1.0/2.5
Oportunidad Compra,0.8/2.0
Ratio Sharpe,0.01
Volatilidad Anual (%),97.78
Ranking Volumen (%),50.57
