Métrica,Valor
Cambio Diario (%),-7.20
Score Tendencia,1.0/2.5
Oportunidad Compra,0.8/2.0
Ratio Sharpe,0.01
Volatilidad Anual (%),99.95
Ranking Volumen (%),50.57
