Métrica,Valor
Cambio Diario (%),-5.17
Score Tendencia,1.0/2.5
Oportunidad Compra,0.8/2.0
Ratio Sharpe,0.02
Volatilidad Anual (%),104.09
Ranking Volumen (%),50.57
