Métrica,Valor
Cambio Diario (%),-4.52
Score Tendencia,1.0/2.5
Oportunidad Compra,1.0/2.0
Ratio Sharpe,0.01
Volatilidad Anual (%),126.91
Ranking Volumen (%),50.57
