Métrica,Valor
Cambio Diario (%),-6.91
Score Tendencia,1.0/2.5
Oportunidad Compra,1.2/2.0
Ratio Sharpe,0.01
Volatilidad Anual (%),114.80
Ranking Volumen (%),50.57
