Métrica,Valor
Cambio Diario (%),-8.11
Score Tendencia,1.0/2.5
Oportunidad Compra,0.8/2.0
Ratio Sharpe,0.02
Volatilidad Anual (%),102.61
Ranking Volumen (%),50.57
