Criptomoneda,Peso (%),Rendimiento (%)
BTCUSDT,14.97,-0.02
XRPUSDT,25.85,-0.37
ADAUSDT,13.27,-0.12
DOTUSDT,9.68,-0.24
DOGEUSDT,20.64,-0.14
AAVEUSDT,15.59,-0.21
