Métrica,Valor
Cambio Diario (%),0.52
Score Tendencia,0.0/2.5
Oportunidad Compra,2.5/2.0
Ratio Sharpe,0.00
Volatilidad Anual (%),112.73
Ranking Volumen (%),50.57
