timestamp,close,volume
2025-01-26,1.0009,83730.84
2025-01-25,0.9989,37017.65
2025-01-24,0.998,20946.31
2025-01-23,0.9998,20728.71
2025-01-22,0.9987,3991.94
2025-01-21,0.9998,11246.06
2025-01-20,0.9989,18316.79
2025-01-19,1.0007,93671.6
2025-01-18,1.0008,14459.12
2025-01-17,1.0005,40633.56
2025-01-16,1.0027,91693.41
2025-01-15,0.9999,17503.73
2025-01-14,1.0009,22309.31
2025-01-13,0.9997,17038.37
2025-01-12,1.0013,1811.16
2025-01-11,1.0011,25139.46
2025-01-10,1.0,2108.22
2025-01-09,1.0002,12105.68
2025-01-08,0.9989,27262.29
2025-01-07,0.9761,65835.99
2025-01-06,1.0023,20547.99
2025-01-05,0.9999,17235.82
2025-01-04,0.9994,38752.72
2025-01-03,1.0,13275.47
2025-01-02,1.0022,185927.21
2025-01-01,1.0025,112593.21
2024-12-31,1.0024,28222.43
2024-12-30,1.0004,59263.65
2024-12-29,1.0004,3758.83
2024-12-28,1.0021,88.79
2024-12-27,1.0003,14766.42
2024-12-26,1.0001,142.9
2024-12-25,1.0002,1337.8
2024-12-24,1.0004,1418.89
2024-12-23,1.0006,2687.27
2024-12-22,1.0004,1723.08
2024-12-21,1.0002,1275.15
2024-12-20,1.0001,80205.12
2024-12-19,1.0011,327.0
2024-12-18,1.0016,5839.42
2024-12-17,1.0024,3759.11
2024-12-16,1.0024,83.91
2024-12-15,1.0024,20.69
2024-12-14,1.0019,22.91
2024-12-13,1.0023,1888.39
2024-12-12,1.0011,638.62
2024-12-11,1.0014,34861.06
2024-12-10,1.0022,19302.28
2024-12-09,1.0004,10635.7
2024-12-08,1.0,107272.94
2024-12-07,1.001,204.49
2024-12-06,1.0018,18615.33
2024-12-05,1.0008,1015.59
2024-12-04,1.0009,75820.82
2024-12-03,1.0017,11313.6
2024-12-02,1.001,65603.33
2024-12-01,1.0005,38428.81
2024-11-30,1.0,582.02
2024-11-29,1.0001,33065.56
2024-11-28,0.9991,4784.36
2024-11-27,0.9988,10240.79
2024-11-26,0.9999,10816.07
2024-11-25,1.0,100952.34
2024-11-24,1.0021,178.67
2024-11-23,1.0024,22781.14
2024-11-22,1.0033,1506.06
2024-11-21,1.002,1490.92
2024-11-20,1.002,482.35
2024-11-19,1.0014,3257.0
2024-11-18,1.0011,2759.15
2024-11-17,1.0024,933.28
2024-11-16,1.0012,8706.45
