rank,name,symbol,price,1h_change,24h_change,7d_change,market_cap,volume_24h
41,BittensorTAO,BittensorTAO,430.86,0.0062,0.0304,0.021,3539575232.0,258159145.0
42,RenderRENDER,RenderRENDER,6.68,0.0105,0.0481,0.019299999999999998,3455979252.0,68738397.0
43,KaspaKAS,KaspaKAS,0.1279,0.0070999999999999995,0.0353,0.0348,3276054407.0,44514448.0
44,OKBOKB,OKBOKB,53.32,0.018500000000000003,0.0358,0.0554,3198969054.0,3497764.0
45,AlgorandALGO,AlgorandALGO,0.3799,0.0089,0.060599999999999994,0.026600000000000002,3189185523.0,181013711.0
46,FilecoinFIL,FilecoinFIL,4.8,0.0151,0.0424,0.0181,2990140310.0,153308629.0
47,ArbitrumARB,ArbitrumARB,0.6671,0.0168,0.048600000000000004,0.0152,2897666825.0,171912526.0
48,Artificial Superintelligence,AllianceFET,1.16,0.0159,0.042800000000000005,0.015,2833640487.0,127606146.0
49,CosmosATOM,CosmosATOM,6.04,0.013600000000000001,0.0286,0.044800000000000006,2360297330.0,174357871.0
50,EthenaENA,EthenaENA,0.7717,0.0086,0.1047,0.0496,2340420775.0,325612646.0
51,GateTokenGT,GateTokenGT,24.6,0.020499999999999997,0.0327,0.2492,2183211232.0,27108846.0
52,CelestiaTIA,CelestiaTIA,4.23,0.031,0.0761,0.06309999999999999,2132610273.0,71114586.0
53,ImmutableIMX,ImmutableIMX,1.18,0.016,0.0478,0.032400000000000005,2053109098.0,34327620.0
54,BonkBONK,BonkBONK,2.676e-05,0.0194,0.0861,0.1164,2049259153.0,166335836.0
55,RaydiumRAY,RaydiumRAY,7.0,0.043,0.1038,0.1216,2036999940.0,115972368.0
56,OptimismOP,OptimismOP,1.5,0.0453,0.0894,0.0984,2022376608.0,171059000.0
57,StacksSTX,StacksSTX,1.32,0.0115,0.057999999999999996,0.0429,1989774460.0,41610090.0
58,InjectiveINJ,InjectiveINJ,19.86,0.0197,0.0384,0.012199999999999999,1965245194.0,87958019.0
59,Theta,NetworkTHETA,1.92,0.0129,0.0438,0.0163,1921980156.0,17532167.0
60,WorldcoinWLD,WorldcoinWLD,1.97,0.0141,0.06849999999999999,0.0524,1874567767.0,201321899.0
61,Lido,DAOLDO,2.07,0.014499999999999999,0.026600000000000002,0.3049,1852100089.0,251309638.0
62,First Digital,USDFDUSD,0.9999,0.0002,0.0005,0.0023,1837626683.0,3635456719.0
63,JupiterJUP,JupiterJUP,1.06,0.0111,0.10279999999999999,0.1326,1784165982.0,1470174616.0
64,The,GraphGRT,0.179,0.0146,0.023799999999999998,0.0733,1708845059.0,73160138.0
65,DeXeDEXE,DeXeDEXE,19.65,0.0027,0.0123,0.1235,1645007658.0,23304219.0
66,MovementMOVE,MovementMOVE,0.704,0.0197,0.008100000000000001,0.0285,1619231049.0,97641822.0
67,KuCoin,TokenKCS,13.09,0.011399999999999999,0.008199999999999999,0.2564,1605974522.0,1580134.0
68,Pudgy,PenguinsPENGU,0.0245,0.015700000000000002,0.0521,0.02,1539965487.0,361253087.0
69,XDC,NetworkXDC,0.09997,0.0294,0.1045,0.1821,1492857711.0,60924775.0
70,Sonic (prev.,FTM)S,0.5144,0.0015,0.046799999999999994,0.014499999999999999,1481334590.0,93761502.0
71,SeiSEI,SeiSEI,0.3303,0.0265,0.0548,0.0204,1464258044.0,96606377.0
72,Virtuals,ProtocolVIRTUAL,2.24,0.0271,0.0981,0.1245,1443822136.0,140888766.0
73,FlareFLR,FlareFLR,0.02471,0.013600000000000001,0.0584,0.0542,1411149081.0,11909266.0
74,JasmyCoinJASMY,JasmyCoinJASMY,0.02635,0.019,0.0278,0.0101,1302877741.0,97085457.0
75,The,SandboxSAND,0.5292,0.0124,0.049699999999999994,0.0241,1294423763.0,93566912.0
76,QuantQNT,QuantQNT,105.56,0.0027,0.0184,0.0231,1274416773.0,30333997.0
77,FLOKIFLOKI,FLOKIFLOKI,0.0001281,0.018600000000000002,0.0712,0.08779999999999999,1230778501.0,154090840.0
77,21.05%1.49%,21.05%1.49%,297.0,,,,40.09,
78,OnyxcoinXCN,OnyxcoinXCN,0.03935,0.19760000000000003,0.1653,2.9326,1211726007.0,1704097818.0
79,EOSEOS,EOSEOS,0.7719,0.0075,0.0443,0.0348,1190820493.0,120650778.0
80,dogwifhatWIF,dogwifhatWIF,1.19,0.0217,0.0741,0.1818,1189759886.0,152957333.0
81,KaiaKAIA,KaiaKAIA,0.1979,0.0106,0.0437,0.043899999999999995,1173431470.0,20161956.0
