Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,"Direcciones ""In the money"" %","Direcciones ""At the money"" %","Direcciones ""Out of the money"" %",Direcciones de beneficios %,"Direcciones ""break-even"" (punto de equilibrio) %",Direcciones de pérdidas %
BTC,Bitcoin,1,2015833794290.8901,USD,92.96321557828855,3.317303230486009,3.7194811912254386,92.47566950596749,2.7917586816158884,4.732571812416615
ETH,Ethereum,2,347404354799.2564,USD,66.99289650774718,3.541046700662161,29.466056791590656,64.12697760189816,2.1194354097642405,33.753586988337595
XRP,XRP,3,156480980955.5538,USD,,,,,,
USDT,Tether USDt,4,139538645552.84302,USD,16.186464313795305,67.75906063168514,16.05447505451956,25.263340602608036,49.716246087201625,25.020413310190335
SOL,Solana,5,105889439873.14832,USD,,,,,,
BNB,BNB,6,87635462443.02272,USD,,,,,,
USDC,USDC,7,54372193112.39709,USD,16.365541467533053,71.9719504289225,11.662508103544452,24.167822521069215,54.9179092101494,20.914268268781377
DOGE,Dogecoin,8,42868002371.81696,USD,,,,,,
ADA,Cardano,9,28931912101.466335,USD,,,,,,
TRX,TRON,10,19785121979.61281,USD,,,,,,
LINK,Chainlink,11,13976303652.827387,USD,64.1806199796357,4.897330014707546,30.922050005656747,62.91478108383301,4.327271184523136,32.75794773164385
AVAX,Avalanche,12,11781524912.279879,USD,47.39575248260971,3.395592951064698,49.208654566325585,49.69609540546151,2.367873945290076,47.93603064924841
SUI,Sui,13,11541292254.3685,USD,,,,,,
XLM,Stellar,14,11293210526.24525,USD,,,,,,
HBAR,Hedera,15,10603548002.878387,USD,,,,,,
TON,Toncoin,16,10289824704.201557,USD,20.11603090149397,0.9108125169086483,78.97315658159738,22.680133465596537,0.8386689512129137,76.48119758319055
SHIB,Shiba Inu,17,9900056129.527454,USD,41.91969822527989,3.3321190413953046,54.7481827333248,41.689932870975454,2.9014393530697484,55.4086277759548
LEO,UNUS SED LEO,18,9045878654.7172,USD,97.34630694383016,2.6536930561698364,0,88.5891198584697,2.0787262273330382,9.332153914197258
HYPE,Hyperliquid,19,8395288373.379999,USD,,,,,,
LTC,Litecoin,20,8173094550.86186,USD,79.11914040220864,6.287704067480819,14.593155530310536,77.88736522432397,5.436752940535089,16.67588183514094
DOT,Polkadot,21,8106901975.451878,USD,,,,,,
BGB,Bitget Token,22,7886880000,USD,,,,,,
BCH,Bitcoin Cash,23,7001603665.75,USD,71.26515461572627,2.3991896353733493,26.33565574890038,71.32107066694606,2.3796178228291835,26.299311510224772
USDE,Ethena USDe,24,6043209021.934246,USD,,,,,,
UNI,Uniswap,25,6077242541.6252,USD,46.45362107086211,3.3480435772377075,50.198335351900184,47.352007308501484,2.9147708505060304,49.73322184099248
OM,MANTRA,26,5867682193.221628,USD,,,,,,
DAI,Dai,27,5359319820.210861,USD,35.28903151610476,11.385583940062745,53.3253845438325,40.89969304142672,7.810319896496614,51.28998706207666
PEPE,Pepe,28,4758465527.889941,USD,48.416755308671156,6.404138596698577,45.179106094630264,48.57434109443328,5.645264547137848,45.78039435842887
ONDO,Ondo,29,4502360050.3308,USD,,,,,,
NEAR,NEAR Protocol,30,4465871833.696,USD,,,,,,
AAVE,Aave,31,4270441082.079413,USD,59.76608998139352,3.3936599290411302,36.840250089565345,60.65596505217904,2.967213304210149,36.37682164361081
XMR,Monero,32,4192022590.7504954,USD,,,,,,
MNT,Mantle,33,4144294071.3401365,USD,,,,,,
TRUMP,OFFICIAL TRUMP,34,3992400000,USD,,,,,,
APT,Aptos,35,3732146765.7360606,USD,,,,,,
ICP,Internet Computer,36,3705848074.2974806,USD,,,,,,
ETC,Ethereum Classic,37,3340644534.619371,USD,,,,,,
VET,VeChain,38,3189514861.714968,USD,,,,,,
TAO,Bittensor,39,3210923427.2000003,USD,,,,,,
CRO,Cronos,40,3038192249.98064,USD,31.224910287643183,3.4306756765219784,65.34441403583484,34.09570570589378,2.8598357935081444,63.044458500598076
OKB,OKB,41,2967960000,USD,56.22939354580877,11.289839144769708,32.48076730942152,56.059546408232585,10.450594464981517,33.489859126785895
POL,POL (ex-MATIC),42,2964884659.4392724,USD,,,,,,
KAS,Kaspa,43,2918717290.4895782,USD,,,,,,
RENDER,Render,44,2657232170.122876,USD,,,,,,
ALGO,Algorand,45,2640414929.33495,USD,20.897959976664573,6.511733428928837,72.59030659440658,21.29394775887156,5.428436594503283,73.27761564662516
JUP,Jupiter,46,2607794075.7788763,USD,,,,,,
FIL,Filecoin,47,2230594805.6056004,USD,,,,,,
ARB,Arbitrum,48,2231876590.5212,USD,,,,,,
FET,Artificial Superintelligence Alliance,49,2128739862.3674035,USD,,,,,,
ENA,Ethena,50,2182117437.5,USD,,,,,,
DEXE,DeXe,51,1983475535.5325394,USD,83.55874894336432,9.763313609467456,6.677937447168217,82.3753169907016,8.19949281487743,9.425190194420964
GT,GateToken,52,1970458509.6163335,USD,,,,,,
ATOM,Cosmos,53,1941731097.8476,USD,,,,,,
RAY,Raydium,54,1849883913.6990001,USD,,,,,,
FDUSD,First Digital USD,55,1773460102.111654,USD,,,,,,
TIA,Celestia,56,1795558800.0377898,USD,,,,,,
LDO,Lido DAO,57,1734800941.6116593,USD,31.18833295569242,18.67880610542361,50.13286093888397,33.4768368797248,16.59216841411416,49.930994706161044
OP,Optimism,58,1630173156.21,USD,6.407433276186849,2.386606557030076,91.20596016678307,16.56071284949309,2.435710203822465,81.00357694668445
INJ,Injective,59,1605110630.47938,USD,21.456846950517836,3.019562715765247,75.52359033371691,27.13463751438435,2.3107019562715765,70.55466052934408
STX,Stacks,60,1595985805.4805205,USD,,,,,,
BONK,Bonk,61,1550956805.597579,USD,,,,,,
KCS,KuCoin Token,62,1577110100.1626222,USD,72.62848490246728,6.110269885098423,21.26124521243431,72.0940589649951,5.682729135120692,22.223211899884205
