Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Cambio de precio % 24 horas,Rendimiento % 1 semana,Rendimiento % 1 mes,Rendimiento % 3 meses,Rendimiento % 6 meses,Rendimiento % Año hasta la fecha,Rendimiento % 1 año,Rendimiento % 5 años,Rendimiento % 10 años,Rendimiento % Desde siempre,Volatilidad 1 día
BTC,Bitcoin,1,2012581843054.6501,USD,3.6591468156305043,-1.0313555597853794,3.5411459269067542,49.72191030121739,81.19451119893284,8.71870095849149,136.20393081815865,994.2516163793103,44480.97725875845,13292825064.938738,12.235915261472599
ETH,Ethereum,2,346806551695.693,USD,0.024004007625622874,-10.994979786138272,-20.186450832676883,20.025611292327444,16.867709653312538,-13.6239880167981,25.350462200615098,1417.853092443624,95815.66666666667,95815.66666666667,35.615859210942006
XRP,XRP,3,156094365949.87408,USD,4.614074475497397,-10.516043665233221,10.331185251651842,437.47268030995434,434.3935203476887,30.065390902971426,421.8171296296297,960.8235294117646,19652.608635331402,45953.348405812896,55.39407490217999
USDT,Tether USDt,4,139552585477.4737,USD,0.138038650822235,0.1390403216933024,0.1590779481946245,0.16909976886363756,0.06497076315658348,0.30760598378807535,0.16408860784824664,0.2603905858788229,-17.275401599788445,-17.275401599788445,0.25012506253126027
SOL,Solana,5,105314827138.95511,USD,6.192908358707388,-10.097273029597602,-0.6888001102080176,36.9577607497942,49.70926207946836,14.440681553603566,120.88652844448985,100656.49130928091,100656.49130928091,100656.49130928091,23.914029715322666
BNB,BNB,6,87534301309.59961,USD,-0.5471203340995169,-7.918284146944654,-13.958797249415285,11.234632724375818,26.677388758299312,-12.36323695134302,105.09430812885995,3234.638906306178,530606.1667683402,530606.1667683402,22.775165188404063
USDC,USDC,7,54370559905.09459,USD,-0.12999999999999678,-0.14797040591880883,-0.07004062356165805,-0.14697207530567796,-0.11101887320843987,-0.12799999999999478,-0.11601392167059436,-0.10969410254122465,-0.8744156501543363,-0.8744156501543363,0.25356545095562316
DOGE,Dogecoin,8,42789616857.7336,USD,9.183211293122978,-13.90054459423265,-23.75480946608338,82.94024660132786,199.84454347600789,-8.277589322512116,267.62388818297336,11737.922103428384,197334.14767299037,51677.08579405132,44.79552984225883
ADA,Cardano,9,28798557752.641685,USD,3.008428134094261,-14.115573091008299,-24.77297794117647,150.91048436542002,147.27190332326282,-2.976599729723318,60.484313725490196,1326.8505282242597,3675.5963446643814,3675.5963446643814,60.7152607152607
TRX,TRON,10,19781677194.72909,USD,1.91402433608669,-6.698078719688048,-14.89440533530937,41.093366093366086,85.99190283400809,-9.65585054080629,95.98976109215016,1097.8770926996249,11098.104561143502,11098.104561143502,14.420015917230412
LINK,Chainlink,11,13916322255.604826,USD,7.166379945932672,-12.353815858216446,-7.013729001449644,112.77073170731708,116.57398212512413,9.186943025933719,23.563739376770556,686.7227149635318,13835.997546231807,13835.997546231807,41.026462484782485
